Country,Scientific.Name,eventdate,year,month,day,Longitude,Latitude
NC,Acropora globiceps,2008-07-20,2008,7,20,158.382,-19.9194
NC,Acropora globiceps,1987-03-04,1987,3,4,166.585,-22.62333
NC,Acropora globiceps,2009-03-26,2009,3,26,163.973,-19.6419
NC,Acropora globiceps,2008-07-10,2008,7,10,158.382,-19.9201
PF,Acropora globiceps,2012-10-22,2012,10,22,-149.84602,-17.47614
AU,Acropora globiceps,2007-01-11,2007,1,11,159.068333,-31.51
PF,Acropora globiceps,2003-11-16,2003,11,16,-149.666667,-17.583333
PF,Acropora globiceps,1999-03-28,1999,3,28,-149.833333,-17.583333
PF,Acropora globiceps,1989-01-06,1989,1,6,-151.75,-16.5
AU,Acropora globiceps,1991-12-05,1991,12,5,151.416667,-17.65
CK,Acropora globiceps,1984-11-15,1984,11,15,-157.25,-20.166667
